symbol,strategy,signal_type,action,price,confidence,generated_at,reason,indicators,position_size,signal_hash,trend_strength,super_trend,timestamp
TWLO,a35,MLP_NN_BUY,BUY,132.45,0.1025840915306483,2025-12-13T19:54:43.402869,MLP神经网络预测上涨: 2.56%,"{'predicted_change': 0.025646022882662076, 'predicted_price': np.float64(135.84681573080857), 'model_trained': '2025-12-13T19:54:43.400300', 'network_layers': (100, 50, 25)}",4,620379a4,,,
TOST,a35,MLP_NN_BUY,BUY,35.49,0.10752856543907774,2025-12-13T19:54:46.147608,MLP神经网络预测上涨: 2.69%,"{'predicted_change': 0.026882141359769435, 'predicted_price': np.float64(36.44404719685822), 'model_trained': '2025-12-13T19:54:46.145148', 'network_layers': (100, 50, 25)}",17,5828ec60,,,
LMND,a35,MLP_NN_SELL,SELL,77.85,0.12119413213344288,2025-12-13T19:54:48.493082,MLP神经网络预测下跌: -3.03%,"{'predicted_change': -0.03029853303336072, 'predicted_price': np.float64(75.49125920335287), 'model_trained': '2025-12-13T19:54:48.490605', 'network_layers': (100, 50, 25)}",8,8ae17492,,,
STRL,a33,PIVOT_S1_BREAKOUT,SELL,316.3825,0.7947949526813901,2025-12-13T19:54:50.690510,Pivot S1跌破: 316.38 < 317.00,"{'pivot': np.float64(317.0), 'r1': np.float64(317.0), 's1': np.float64(317.0), 'breakout_strength': np.float64(0.0019479495268139016), 'breakout_level': 's1'}",2,a0dea727,,,
MRNA,a22,SUPER_TREND_BUY,BUY,29.33,0.7629194876041115,2025-12-13T19:54:53.091917,"超级趋势突破买入: ST=29.17, 强度=0.0053",,170,01ba9f6b,0.005258389752082231,29.172885714285712,2025-12-13 19:54:53.090155
MQ,a35,MLP_NN_BUY,BUY,4.94,0.35360538800078656,2025-12-13T19:54:58.468583,MLP神经网络预测上涨: 8.84%,"{'predicted_change': 0.08840134700019664, 'predicted_price': np.float64(5.376702654180972), 'model_trained': '2025-12-13T19:54:58.466096', 'network_layers': (100, 50, 25)}",141,1b2fec0e,,,
ALHC,a12,STOCH_RSI_OVERBOUGHT,SELL,19.36,0.8999999999937256,2025-12-13T19:55:00.305140,Stochastic RSI超买: 1.000 >= 0.8,"{'stoch_rsi': 0.9999999999968628, 'oversold_level': 0.2, 'overbought_level': 0.8, 'rsi_period': 14, 'stoch_period': 14}",36,608dc091,,,
ALHC,a14,RSI_TRENDLINE_BUY,BUY,19.36,0.7138921833958897,2025-12-13T19:55:00.309184,"RSI趋势线: 价格>19.33, RSI均值25.6<33","{'rsi': 41.53576463383337, 'rsi_avg': 25.5981654674898, 'trend_ma': 19.333142044509888, 'trend_strength': 0.13892183395889635, 'rsi_threshold': 33, 'lookback_days': 2}",36,2640e453,,,
ALHC,a33,PIVOT_R1_BREAKOUT,BUY,19.36,0.8999999999999999,2025-12-13T19:55:00.578349,Pivot R1突破: 19.36 > 19.19,"{'pivot': np.float64(19.0144), 'r1': np.float64(19.187199999999997), 's1': np.float64(18.668799999999997), 'breakout_strength': np.float64(0.009006004002668567), 'breakout_level': 'r1'}",36,c4ca5ae6,,,
ALHC,a35,MLP_NN_BUY,BUY,19.36,0.20648217336453956,2025-12-13T19:55:00.704201,MLP神经网络预测上涨: 5.16%,"{'predicted_change': 0.05162054334113489, 'predicted_price': np.float64(20.359373719084374), 'model_trained': '2025-12-13T19:55:00.701437', 'network_layers': (100, 50, 25)}",36,3e23ef89,,,
TSSI,a8,RSI_NEUTRAL_REVERSAL,SELL,7.73,0.45,2025-12-13T19:55:05.366214,RSI 从 61.3 回落到 54.8,{'rsi': 54.75113114105905},90,559c2834,,,
TSSI,a33,PIVOT_S1_BREAKOUT,SELL,7.73,0.8999999999999999,2025-12-13T19:55:05.601179,Pivot S1跌破: 7.73 < 7.80,"{'pivot': np.float64(7.8), 'r1': np.float64(7.8), 's1': np.float64(7.8), 'breakout_strength': np.float64(0.008974358974358897), 'breakout_level': 's1'}",90,42862d7d,,,
TSSI,a35,MLP_NN_SELL,SELL,7.73,0.2231159504755385,2025-12-13T19:55:05.666581,MLP神经网络预测下跌: -5.58%,"{'predicted_change': -0.055778987618884626, 'predicted_price': np.float64(7.298828425706022), 'model_trained': '2025-12-13T19:55:05.664214', 'network_layers': (100, 50, 25)}",90,b0ff8b08,,,
SMR,a35,MLP_NN_SELL,SELL,18.5393,0.15390015024172182,2025-12-13T19:55:08.687856,MLP神经网络预测下跌: -3.85%,"{'predicted_change': -0.038475037560430456, 'predicted_price': np.float64(17.82599973615591), 'model_trained': '2025-12-13T19:55:08.685482', 'network_layers': (100, 50, 25)}",37,b5a2c9a7,,,
SLDP,a8,RSI_OVERSOLD,BUY,4.9499,0.5170828189690088,2025-12-13T19:55:10.723294,RSI超卖: 25.0 <= 30,"{'rsi': 24.968788577324347, 'rsi_threshold': 30, 'distance': 5.0312114226756535}",141,f36da573,,,
SLDP,a33,PIVOT_S1_BREAKOUT,SELL,4.9499,0.8036290322580555,2025-12-13T19:55:10.969132,Pivot S1跌破: 4.95 < 4.96,"{'pivot': np.float64(4.96), 'r1': np.float64(4.96), 's1': np.float64(4.96), 'breakout_strength': np.float64(0.002036290322580555), 'breakout_level': 's1'}",141,aeb6dfd3,,,
